CDUID	blacks
1001	1920
1002	30
1003	25
1004	25
1005	95
1006	80
1007	75
1008	70
1009	45
1010	55
1011	0
1101	50
1102	685
1103	120
1201	215
1202	595
1203	450
1204	165
1205	200
1206	155
1207	830
1208	730
1209	16550
1210	995
1211	470
1212	725
1213	250
1214	395
1215	110
1216	35
1217	1255
1218	55
1301	1525
1302	95
1303	325
1304	105
1305	360
1306	205
1307	2390
1308	140
1309	135
1310	1225
1311	175
1312	20
1313	210
1314	205
1315	250
2401	20
2402	35
2403	60
2404	25
2405	0
2406	40
2407	15
2408	160
2409	40
2410	325
2411	10
2412	105
2413	20
2414	50
2415	30
2416	20
2417	15
2418	55
2419	320
2420	15
2421	105
2422	150
2423	12860
2425	1055
2426	115
2427	115
2428	40
2429	170
2430	40
2431	145
2432	25
2433	65
2434	135
2435	20
2436	250
2437	1900
2438	60
2439	395
2440	45
2441	50
2442	50
2443	3560
2444	45
2445	110
2446	200
2447	890
2448	0
2449	710
2450	90
2451	75
2452	145
2453	265
2454	1280
2455	160
2456	880
2457	1115
2458	22335
2459	720
2460	6715
2461	525
2462	180
2463	335
2464	9290
2465	32380
2466	182705
2467	6860
2468	80
2469	90
2470	295
2471	4310
2472	2105
2473	3150
2474	505
2475	1160
2476	185
2477	160
2478	140
2479	110
2480	85
2481	16935
2482	310
2483	75
2484	20
2485	50
2486	370
2487	15
2488	45
2489	375
2490	60
2491	90
2492	75
2493	160
2494	730
2495	0
2496	175
2497	175
2498	25
2499	270
3501	745
3502	1140
3506	61365
3507	375
3509	340
3510	1920
3511	220
3512	925
3513	145
3514	850
3515	1045
3516	290
3518	52965
3519	28470
3520	246385
3521	133585
3522	1620
3523	3415
3524	15625
3525	20970
3526	8305
3528	855
3529	2355
3530	15485
3531	570
3532	955
3534	640
3536	2295
3537	14135
3538	1345
3539	12000
3540	170
3541	325
3542	505
3543	7395
3544	320
3546	70
3547	560
3548	410
3549	160
3551	75
3552	55
3553	1525
3554	150
3556	285
3557	740
3558	775
3559	65
3560	185
4601	90
4602	660
4603	265
4604	15
4605	30
4606	40
4607	1115
4608	30
4609	150
4610	65
4611	27550
4612	160
4613	215
4614	40
4615	85
4616	30
4617	40
4618	65
4619	20
4620	20
4621	105
4622	320
4623	40
4701	165
4702	205
4703	60
4704	15
4705	120
4706	6650
4707	490
4708	100
4709	245
4710	25
4711	5740
4712	140
4713	60
4714	120
4715	715
4716	75
4717	255
4718	85
4801	950
4802	4015
4803	45
4804	20
4805	240
4806	55840
4807	240
4808	2540
4809	50
4810	785
4811	59365
4812	710
4813	420
4814	235
4815	185
4816	4205
4817	335
4818	60
4819	1665
5901	375
5903	250
5905	180
5907	305
5909	2690
5915	31290
5917	3760
5919	335
5921	1010
5923	90
5924	205
5926	340
5927	85
5929	195
5931	210
5933	790
5935	1335
5937	280
5939	175
5941	180
5943	100
5945	0
5947	95
5949	225
5951	205
5953	800
5955	610
5957	0
5959	35
6001	275
6101	60
6102	15
6103	10
6104	25
6105	70
6106	640
6204	285
6205	55
6208	35
