id	rate
01001	1920
01002	30
01003	25
01004	25
01005	95
01006	80
01007	75
01008	70
01009	45
01010	55
01011	0
01101	50
01102	685
01103	120
01201	215
01202	595
01203	450
01204	165
01205	200
01206	155
01207	830
01208	730
01209	16550
01210	995
01211	470
01212	725
01213	250
01214	395
01215	110
01216	35
01217	1255
01218	55
01301	1525
01302	95
01303	325
01304	105
01305	360
01306	205
01307	2390
01308	140
01309	135
01310	1225
01311	175
01312	20
01313	210
01314	205
01315	250
02401	20
02402	35
02403	60
02404	25
02405	0
02406	40
02407	15
02408	160
02409	40
02410	325
02411	10
02412	105
02413	20
02414	50
02415	30
02416	20
02417	15
02418	55
02419	320
02420	15
02421	105
02422	150
02423	12860
02425	1055
02426	115
02427	115
02428	40
02429	170
02430	40
02431	145
02432	25
02433	65
02434	135
02435	20
02436	250
02437	1900
02438	60
02439	395
02440	45
02441	50
02442	50
02443	3560
02444	45
02445	110
02446	200
02447	890
02448	0
02449	710
02450	90
02451	75
02452	145
02453	265
02454	1280
02455	160
02456	880
02457	1115
02458	22335
02459	720
02460	6715
02461	525
02462	180
02463	335
02464	9290
02465	32380
02466	182705
02467	6860
02468	80
02469	90
02470	295
02471	4310
02472	2105
02473	3150
02474	505
02475	1160
02476	185
02477	160
02478	140
02479	110
02480	85
02481	16935
02482	310
02483	75
02484	20
02485	50
02486	370
02487	15
02488	45
02489	375
02490	60
02491	90
02492	75
02493	160
02494	730
02495	0
02496	175
02497	175
02498	25
02499	270
03501	745
03502	1140
03506	61365
03507	375
03509	340
03510	1920
03511	220
03512	925
03513	145
03514	850
03515	1045
03516	290
03518	52965
03519	28470
03520	246385
03521	133585
03522	1620
03523	3415
03524	15625
03525	20970
03526	8305
03528	855
03529	2355
03530	15485
03531	570
03532	955
03534	640
03536	2295
03537	14135
03538	1345
03539	12000
03540	170
03541	325
03542	505
03543	7395
03544	320
03546	70
03547	560
03548	410
03549	160
03551	75
03552	55
03553	1525
03554	150
03556	285
03557	740
03558	775
03559	65
03560	185
04601	90
04602	660
04603	265
04604	15
04605	30
04606	40
04607	1115
04608	30
04609	150
04610	65
04611	27550
04612	160
04613	215
04614	40
04615	85
04616	30
04617	40
04618	65
04619	20
04620	20
04621	105
04622	320
04623	40
04701	165
04702	205
04703	60
04704	15
04705	120
04706	6650
04707	490
04708	100
04709	245
04710	25
04711	5740
04712	140
04713	60
04714	120
04715	715
04716	75
04717	255
04718	85
04801	950
04802	4015
04803	45
04804	20
04805	240
04806	55840
04807	240
04808	2540
04809	50
04810	785
04811	59365
04812	710
04813	420
04814	235
04815	185
04816	4205
04817	335
04818	60
04819	1665
05901	375
05903	250
05905	180
05907	305
05909	2690
05915	31290
05917	3760
05919	335
05921	1010
05923	90
05924	205
05926	340
05927	85
05929	195
05931	210
05933	790
05935	1335
05937	280
05939	175
05941	180
05943	100
05945	0
05947	95
05949	225
05951	205
05953	800
05955	610
05957	0
05959	35
06001	275
06101	60
06102	15
06103	10
06104	25
06105	70
06106	640
06204	285
06205	55
06208	35
